1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
0	W	115
4	J	583
4	R	583
4	W	583
0	R	583
4	J	660
4	R	660
4	W	660
0	R	660
4	J	672
4	R	672
4	W	672
0	R	672
4	J	724
4	R	724
4	W	724
0	R	724
4	J	789
4	R	789
6	N	791
6	J	792
4	W	792
6	R	792
6	E	798
4	J	798
4	R	798
7	N	798
7	J	799
4	W	799
7	R	799
4	J	801
7	E	802
4	R	802
4	W	802
0	R	802
4	J	856
4	R	856
4	W	856
0	R	856
4	J	2398
4	R	2398
4	W	2398
0	R	2398
4	J	2471
4	R	2471
4	W	2471
0	R	2471
4	J	2502
4	R	2502
4	W	2502
0	R	2502
4	J	2534
4	R	2534
4	W	2534
0	R	2534
4	J	2577
4	R	2577
4	W	2577
0	R	2577
4	J	2634
4	R	2634
4	W	2634
0	R	2634
4	J	2699
4	R	2699
4	W	2699
0	R	2699
4	J	2785
4	R	2785
4	W	2785
0	R	2785
4	J	2810
4	R	2810
4	W	2810
0	R	2810
4	J	2874
4	R	2874
4	W	2874
0	R	2874
4	J	2959
4	R	2959
4	W	2959
0	R	2959
4	J	3008
4	R	3008
4	W	3008
0	R	3008
4	J	3045
4	R	3045
4	W	3045
0	R	3045
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3149
4	R	3149
4	W	3149
0	R	3149
4	J	3569
4	R	3569
4	W	3569
0	R	3569
4	J	3915
4	R	3915
4	W	3916
0	R	3916
4	J	3916
4	R	3916
4	W	3916
0	R	3916
4	J	3939
4	R	3939
4	W	3939
0	R	3939
4	J	3939
4	R	3939
4	W	3939
0	R	3939
4	J	3960
4	R	3960
4	W	3960
0	R	3960
4	J	3978
4	R	3978
4	W	3978
0	R	3978
4	J	3998
4	R	3998
4	W	3998
0	R	3998
4	J	3998
4	R	3998
4	W	3999
0	R	3999
4	J	4019
4	R	4019
4	W	4019
0	R	4019
4	J	4036
4	R	4036
4	W	4036
0	R	4036
4	J	4037
4	R	4037
4	W	4037
0	R	4037
4	J	4057
4	R	4057
4	W	4058
0	R	4058
4	J	4058
4	R	4058
4	W	4058
0	R	4058
4	J	4080
4	R	4080
4	W	4080
0	R	4080
4	J	4081
4	R	4081
4	W	4081
0	R	4081
4	J	4099
4	R	4099
4	W	4099
0	R	4099
4	J	4120
4	R	4120
4	W	4120
0	R	4120
4	J	4120
4	R	4120
4	W	4120
0	R	4121
4	J	4129
4	R	4129
4	W	4129
0	R	4130
4	J	4164
4	R	4164
4	W	4164
0	R	4164
4	J	4200
4	R	4200
4	W	4200
0	R	4200
4	J	4286
4	R	4286
4	W	4286
0	R	4286
4	J	4328
4	R	4328
4	W	4328
0	R	4328
4	J	4395
4	R	4395
4	W	4395
0	R	4395
4	J	4453
4	R	4453
4	W	4453
0	R	4453
4	J	4514
4	R	4514
4	W	4514
0	R	4514
4	J	4581
4	R	4581
4	W	4581
0	R	4581
4	J	4646
4	R	4646
4	W	4646
0	R	4647
4	J	4701
4	R	4701
4	W	4701
0	R	4701
4	J	4869
4	R	4869
4	W	4870
0	R	4870
4	J	4969
4	R	4969
4	W	4969
0	R	4970
4	J	5386
4	R	5386
4	W	5386
0	R	5386
4	J	5480
4	R	5480
4	W	5480
0	R	5480
4	J	5515
4	R	5515
4	W	5515
0	R	5515
4	J	5560
4	R	5560
4	W	5560
0	R	5560
4	J	5589
4	R	5589
4	W	5589
0	R	5589
4	J	5631
4	R	5631
4	W	5631
0	R	5631
4	J	5716
4	R	5716
